Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-19 22:10:41,"6.6","United Kingdom","Animal Farm","He s got the world in an UPROAR!","Laurence Heath","1954",1:12:06,"N/A","A successful farmyard revolution by the resident animals vs. the farmer goes horribly wrong as the victors create a new tyranny among themselves.","John Halas-Joy Batchelor","Halas and Batchelor Cartoon Films","N/A","1954-12-29","Gordon Heath-Maurice Denham",N/A,"6.9","N/A","Animation-Drama","G"
2021-00-19 22:10:41,"6.7","United States of America","Batman & Mr. Freeze: SubZero","It s going to get Cold this Summer!","Boyd Kirkland-Randy Rogel","1998",1:07:35,"N/A","Mr. Freeze is living in the arctic with his cryogenically-frozen wife. When a submarine destroys her containment capsule, he has to find someone to  donate  a new heart for her. His search turns up one donor with the right blood type: Barbara (Batgirl) Gordon. Her kidnapping sends Batman and Robin on a hurried chase to free her in time.","Boyd Kirkland","DC Comics","N/A","1998-03-17","Kevin Conroy-Michael Ansara-Mary Kay Bergman-Loren Lester-Efrem Zimbalist Jr.-George Dzundza-Bob Hastings-Robert Costanzo-Marilu Henner-Dean Jones-Mari Devon-Liane Schirmer-Rahi Azizi-Townsend Coleman-Brian George-Ed Gilbert-Carl Lumbly-Tress MacNeille-Neil Ross-Randy Thompson-Lauren Tom",N/A,"9.2","N/A","Animation-Action-Crime-Drama-Science Fiction-Thriller-Family","NR"
2021-00-19 22:17:38,"6.1","Japan-United States of America","Batman Ninja","East meets West in this spectacular all-new anime Batman movie!","Kazuki Nakashima","2018",1:25:16,"N/A","Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan.","Junpei Mizusaki","Kamikaze Douga","N/A","2018-04-24","Koichi Yamadera-Wataru Takagi-Rie Kugimiya-Ai Kakuma-Hochu Otsuka-Daisuke Ono-Akira Ishida-Kengo Kawanishi-Yuki Kaji-Junichi Suwabe-Cho-Takehito Koyasu-Toshiyuki Morikawa-Atsuko Tanaka-Kenta Miyake-Anna Mugiho-Juri Nagatsuma",N/A,"8.2","ニンジャバットマン","Action-Animation-Science Fiction","PG-13"
2021-00-19 22:23:05,"8.6","United States of America","Batman vs Teenage Mutant Ninja Turtles","Who Will Lead Them?","Marly Halpern-Graser","2019",1:27:07,"N/A","Batman, Batgirl and Robin forge an alliance with The Teenage Mutant Ninja Turtles to fight against the Turtles  sworn enemy, The Shredder, who has teamed up with Ra s Al Ghul and The League Of Assassins.","Jake Castorena","Warner Bros. Animation","N/A","2019-06-04","Troy Baker-Eric Bauza-Darren Criss-Kyle Mooney-Baron Vaughn-Rachel Bloom-Ben Giroux-Brian George-Jim Meskimen-Tom Kenny-John DiMaggio-Tara Strong-Carlos Alazraqui-Cas Anvar-Keith Ferguson-Andrew Kishino",N/A,"10","N/A","Action-Adventure-Animation-Comedy-Crime-Fantasy-Science Fiction-Family","PG-13"
2021-00-19 22:54:43,"6.6","United States of America","The Batman vs. Dracula","There s another bat in Gotham...","Duane Capizzi","2005",1:24:44,"1","Gotham City is terrorized not only by recent escapees Joker and Penguin, but by the original creature of the night, Dracula! Can Batman stop the ruthless vampire before he turns everyone in the city, including The Caped Crusader, Joker and Penguin, into his mindless minions?","Michael Goguen","Warner Bros. Animation","Batman vs. Dracula","2005-10-18","Rino Romano-Peter Stormare-Tara Strong-Alastair Duncan-Tom Kenny-Kevin Michael Richardson-Jeff Bennett-Richard Green-Neil Ross-James Sie-Kevin Carvell",N/A,"N/A","N/A","Animation-Family-Drama-Science Fiction-Thriller-Action-Horror-Fantasy-Mystery","NR"
2021-00-19 22:23:25,"6.1","United States of America","Batman vs. Two-Face","Everyone must face their demons.","Michael Jelenic-James Tucker","2017",1:12:08,"1","Gotham City District Attorney Harvey Dent is mutilated in a laboratory accident. When the duplicitous Two-Face embarks on a crime spree, Batman and Robin must solve the mystery of his identity while facing off against several other foes.","Rick Morales","DC Entertainment","N/A","2017-10-10","Adam West-Burt Ward-William Shatner-Julie Newmar-Jeff Bergman-Sirena Irwin-Thomas Lennon-Lee Meriwether-William Salyers-Lynne Marie Stewart-Jim Ward-Steven Weber-Wally Wingert-Maurice LaMarche",N/A,"10","N/A","Action-Animation-Comedy","PG"
2021-00-19 22:12:26,"8.5","United States of America","Batman: Assault on Arkham","Get ready to root for the bad guys.","Heath Corson","2014",1:16:57,"2","Batman works desperately to find a bomb planted by the Joker while Amanda Waller hires her newly formed Suicide Squad to break into Arkham Asylum to recover vital information stolen by the Riddler.","Jay Oliva-Ethan Spaulding","Warner Bros. Animation","N/A","2014-07-29","Kevin Conroy-Neal McDonough-Hynden Walch-Troy Baker-Matthew Gray Gubler-Jennifer Hale-Greg Ellis-John DiMaggio-CCH Pounder-Chris Cox-Giancarlo Esposito-Martin Jarvis-Nolan North-Eric Bauza-Peter Jessop-Christian Lanz-Christopher L. Parson-Andrea Romano-Travis Willingham-Mick Wingert",N/A,"7.5","N/A","Animation-Thriller-Action-Adventure-Crime-Science Fiction","PG-13"
2021-00-19 22:14:02,"6.4","United States of America","Batman: Bad Blood","Justice runs in the family","J. M. DeMatteis","2016",1:13:42,"2","Bruce Wayne is missing. Alfred covers for him while Nightwing and Robin patrol Gotham City in his stead. And a new player, Batwoman, investigates Batman s disappearance.","Jay Oliva","DC Comics","N/A","2016-02-02","Jason O Mara-Gaius Charles-Ernie Hudson-Stuart Allan-Morena Baccarin-James Garrett-Sean Maher-Yvonne Strahovski-Travis Willingham-Vanessa Marshall-Bruce Thomas",N/A,"10","N/A","Animation-Action-Adventure-Science Fiction","PG-13"
2021-00-19 22:15:27,"6.9","United States of America","Batman: Gotham Knight","Get Ready... to Rage Against Evil.","Josh Olson-David S. Goyer-Alan Burnett-Jordan Goldberg-Greg Rucka","2008",1:16:00,"N/A","A collection of key events mark Bruce Wayne s life as he journeys from beginner to Dark Knight.","Yoshiaki Kawajiri-Yasuhiro Aoki-Hiroshi Morioka-Jong-Sik Nam-Toshiyuki Kubooka-Futoshi Higashide-Shoujirou Nishimi","DC Comics","N/A","2008-07-08","Kevin Conroy-Gary Dourdan-Jason Marsden-Jim Meskimen-David McCallum-Andrea Romano-Corey Burton-Scott Menville-George Newbern-Corey Padnos-Crystal Scales-Alanna Ubach-Hynden Walch-Pat Musick-Will Friedle-Kevin Michael Richardson-Brian George-Ana Ortiz-Rob Paulsen-Parminder Nagra",N/A,"7.5","N/A","Action-Adventure-Animation-Crime-Science Fiction-Thriller","PG-13"
2021-00-19 22:16:53,"6.8","United States of America","Batman: Hush","It s time to play a game.","Ernie Altbacker","2019",1:22:03,"1","When threads from Batman s past begin to unravel, the race is on for him to crack Hush s deadly game. Strange alliances will form and shattering secrets will be revealed when Hush s silence is finally broken.","Justin Copeland","DC Entertainment","N/A","2019-07-20","Jason O Mara-Jennifer Morrison-Maury Sterling-Sean Maher-Geoffrey Arend-James Garrett-Jerry O Connell-Rebecca Romijn-Bruce Thomas-Rainn Wilson-Peyton List-Stuart Allan-Vanessa Williams-Jason Spisak-Hynden Walch-Adam Gifford-Sachie Alessio-Chris Cox-Tara Strong",N/A,"8.8","N/A","Animation-Science Fiction-Crime-Action-Adventure-Mystery-Drama-Romance-Thriller","PG-13"
