Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-21 21:14:35,"8.8","Japan","5 Centimeters per Second","At what speed must I live to see you again?","Makoto Shinkai","2007",1:03:46,"N/A","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.","Makoto Shinkai","CoMix Wave Films","N/A","2007-03-03","Kenji Mizuhashi-Yoshimi Kondou-Satomi Hanamura-Risa Mizuno-Ayaka Onoue-Hiroshi Shimozaki-Masami Iwasaki-Rei Kondo-Takahiro Hirano-Yuko Nakamura-Yuka Terasaki-Akira Nakagawa-Keiko Izeki-Suguru Inoue-Rion Kako-Rika Nakamura-Miki Suga-Mika Sakenobe-Yumiko Atashika-Yukako Saito",N/A,"N/A","秒速5センチメートル","Animation-Drama-Romance-Family-Action","TV-PG"
2021-00-21 21:14:47,"N/A",N/A,"Afro Samurai the Movie","N/A",N/A,"2007",1:52:09,"1","A movie adaptation of the TV series.",N/A,"N/A","N/A","2007-10-27",N/A,N/A,"N/A","AFRO SAMURAI　劇場版",N/A,"N/A"
2021-00-21 21:14:51,"7.2","United States of America-Japan","Afro Samurai: Resurrection","There s no such thing as final vengeance!","Eric S. Calderon-Eric Garcia-Yasuyuki Mutou","2009",1:41:33,"1","Afro Samurai avenged his father and found a life of peace. But the legendary master is forced back into the game by a beautiful and deadly woman from his past. The sparks of violence dropped along Afro’s bloody path now burn out of control – and nowhere are the flames of hatred more intense than in the eyes of Sio.","Fuminori Kizaki","Fuji Television Network","N/A","2009-01-25","Samuel L. Jackson-Lucy Liu-Yuri Lowenthal-Mark Hamill-Jeff Bennett-S. Scott Bullock-Grey DeLisle-Greg Eagles-Zachary Gordon-Liam O Brien-Phil LaMarr-Ariel Winter-Dave Wittenberg-RZA",N/A,"N/A","N/A","Animation-Science Fiction-Fantasy-Drama-Action-Adventure","NR"
2021-00-21 21:14:45,"9","Japan","Akira","Neo-Tokyo is about to E.X.P.L.O.D.E.","Katsuhiro Otomo-Izo Hashimoto","1988",2:04:27,"1","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.","Katsuhiro Otomo","Akira Committee Company Ltd.","N/A","1988-07-16","Mitsuo Iwata-Nozomu Sasaki-Mami Koyama-Tesshou Genda-Hiroshi Ohtake-Kōichi Kitamura-Yuriko Fuchizaki-Masaaki Okura-Takeshi Kusao-Kazuhiro Kamifuji-Tatsuhiko Nakamura-Fukue Itô-Yuka Ôno",N/A,"9","アキラ","Science Fiction-Animation-Action-Drama-Fantasy-Thriller-Anime","R"
2021-00-21 21:13:20,"7.8","Japan-United States of America","The Animatrix","Free your mind.","Koji Morimoto-Peter Chung-Yoshiaki Kawajiri-Shinichiro Watanabe","2003",1:41:51,"N/A","Straight from the creators of the groundbreaking Matrix trilogy, this collection of short animated films from the world s leading anime directors fuses computer graphics and Japanese anime to provide the background of the Matrix universe and the conflict between man and machines. The shorts include Final Flight of the Osiris, The Second Renaissance, Kid s Story, Program, World Record, Beyond, A Detective Story and Matriculated.","Koji Morimoto-Peter Chung-Andrew R. Jones-Yoshiaki Kawajiri-Takeshi Koike-Mahiro Maeda-Shinichiro Watanabe","Silver Pictures","Animatrix","2003-06-03","Keanu Reeves-Carrie-Anne Moss-Clayton Watson-Pamela Adlon-Melinda Clarke-John DiMaggio-Kevin Michael Richardson-Tom Kenny-Rick Gomez-Tara Strong-Bette Ford-Julia Fletcher-Dane A. Davis-Debi Derryberry-Jill Talley-Dwight Schultz-James Arnold Taylor-John DeMita-Hedy Burress-Phil LaMarr-Victor Williams-John Wesley-Alex Fernandez-Allison Smith-Matt McKenzie-Tress MacNeille-Kath Soucie-Terrence  T.C.  Carson-Rodney Saulsberry-Olivia d Abo-Jack Fletcher-Akio Otsuka",N/A,"8.9","N/A","Animation-Science Fiction-Action-Adventure","PG-13"
2021-00-21 21:14:40,"7.1","China","Big Fish & Begonia","Two worlds. One destiny.","Liang Xuan","2016",1:45:21,"N/A","A 16-year-old girl travels to the human world in the form of a dolphin and forms a connection with a human boy.","Liang Xuan-Zhang Chun","Studio Mir","N/A","2016-07-08","Ji Guanlin-Pan Shulan-Su Shangqing-Timmy Xu-Chin Shih-Chieh-Jiu er-Xang Yuanyuan-Xue Lifang-Zhang Jie",N/A,"9.1","大鱼海棠","Romance-Animation-Adventure-Fantasy-Drama-Family","PG-13"
2021-00-21 21:14:37,"7.3","United States of America-Japan","Blade Runner: Black Out 2022","N/A","Shinichiro Watanabe","2017",0:15:07,"1","This animated short revolves around the events causing an electrical systems failure on the west coast of the US. According to Blade Runner 2049’s official timeline, this failure leads to cities shutting down, financial and trade markets being thrown into chaos, and food supplies dwindling. There’s no proof as to what caused the blackouts, but Replicants — the bio-engineered robots featured in the original Blade Runner, are blamed.","Shinichiro Watanabe","Alcon Entertainment","N/A","2017-09-26","Jovan Jackson-Luci Christian-Edward James Olmos-David Anthony Matranga-Joel McCrary-Bryson Bauguss-Jay Hickman",N/A,"N/A","ブレードランナー ブラックアウト 2022","Animation-Short-Action-Science Fiction","PG-13"
2021-00-21 21:14:31,"9.1","Japan","Castle in the Sky","One day, a girl came down from the sky…","Hayao Miyazaki","1986",2:05:34,"1","A young boy stumbles into a mysterious girl who floats down from the sky. The girl, Sheeta, was chased by pirates, army and government secret agents. In saving her life, they begin a high flying adventure that goes through all sorts of flying machines, eventually searching for Sheeta s identity in a floating castle of a lost civilization.","Hayao Miyazaki","Studio Ghibli","N/A","1986-08-02","Keiko Yokozawa-Mayumi Tanaka-Minori Terada-Kotoe Hatsui-Fujio Tokita-Ichirō Nagai-Hiroshi Ito-Machiko Washio-Takumi Kamiyama-Yoshito Yasuhara-Sukekiyo Kameyama-Eken Mine-Tarako-Masashi Sugawara-Reiko Suzuki-Toshihiko Seki-Hochu Otsuka-Megumi Hayashibara-Tomomichi Nishimura",N/A,"9.6","天空の城ラピュタ","Adventure-Action-Fantasy-Animation-Family-Romance-Drama-Science Fiction","PG"
2021-00-21 21:13:16,"8.2","Japan","The Cat Returns","It’s not so bad being a cat, now is it?","Hiroyuki Morita-Reiko Yoshida-Aoi Hiiragi","2002",1:15:04,"N/A","Haru, a schoolgirl bored by her ordinary routine, saves the life of an unusual cat and suddenly her world is transformed beyond anything she ever imagined. The Cat King rewards her good deed with a flurry of presents, including a very shocking proposal of marriage to his son! Haru embarks on an unexpected journey to the Kingdom of Cats where her eyes are opened to a whole other world.","Hiroyuki Morita","Studio Ghibli","Cat Returns","2002-07-19","Chizuru Ikewaki-Yoshihiko Hakamada-Aki Maeda-Takayuki Yamada-Hitomi Satô-Kenta Satoi-Mari Hamada-Tetsu Watanabe-Yousuke Saito-Kumiko Okae-Tetsurō Tamba-Yo Oizumi-Yoko Honna-Ken Yasuda",N/A,"8.8","猫の恩返し","Adventure-Fantasy-Animation-Drama-Family-Comedy-Romance","G"
2021-00-21 21:14:30,"6.9","Japan","Children Who Chase Lost Voices","A journey to say goodbye.","Makoto Shinkai","2011",1:56:07,"N/A","A coming of age story involving young love and a mysterious music, coming from a crystal radio left as a memento by an absent father, that leads a young heroine deep into a hidden world.","Makoto Shinkai","CoMix Wave Films","N/A","2011-05-07","Hisako Kanemoto-Kazuhiko Inoue-Miyu Irino-Rina Hidaka-Fumiko Orikasa-Sumi Shimamoto-Junko Takeuchi-Kanae Ito-Tamio Ohki-Aki Kanada-Ai Horanai-Saya Horigome-Mayumi Tsuchiya-Tomomi Saito-Takeshi Maeda-Risa Mizuno-Yuuna Inamura-Yuka Terasaki",N/A,"N/A","星を追う子ども - Children who Chase Lost Voices from Deep Below","Animation-Drama-Adventure-Fantasy-Anime","PG"
