Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-23 4:28:08,"8.2","Japan-United States of America","All Things Must Pass","The rise and fall of Tower Records","Steven Leckart","2015",1:37:48,"N/A"," All Things Must Pass  is a documentary that explores the rise and fall of Tower Records, and its legacy forged by its rebellious founder, Russ Solomon.","Colin Hanks","Company Name","N/A","2015-10-16","Dave Grohl-Elton John-Bruce Springsteen-Chris Cornell-Ahmir-Khalib Thompson-Heidi Cotler-Chuck D-Rudy Danzinger-Bob Delanoy-Mike Farrace-David Geffen-Stan Goman-Chris Hopson-Steve Knopper-Steve Nikkel-Ken Sockolov-Russ Solomon-Jim Urie-Mark Viducich",N/A,"9.4","N/A","History-Documentary-Music","NR"
2021-00-23 4:28:08,"9","United States of America","Apollo 11","A Cinematic Event 50 Years In The Making",N/A,"2019",1:33:01,"N/A","A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Michael Collins.","Todd Douglas Miller","Statement Pictures","N/A","2019-01-24","Neil Armstrong-Buzz Aldrin-Michael Collins-Walter Cronkite-Bruce McCandless II-Charlie Duke",N/A,"9.9","N/A","Documentary-History","G"
2021-00-23 4:28:09,"9.2","China-United States of America","A Beautiful Day in the Neighborhood","Neighbor. Icon. Friend.","Noah Harpster-Tom Junod-Micah Fitzerman-Blue","2019",1:49:45,"N/A","An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel s perspective on life is transformed.","Marielle Heller","TriStar Pictures","Beautiful Day in the Neighborhood","2019-09-07","Tom Hanks-Matthew Rhys-Chris Cooper-Susan Kelechi Watson-Maryann Plunkett-Enrico Colantoni-Wendy Makkena-Tammy Blanchard-Noah Harpster-Carmen Cusack-Kelley Davis-Christine Lahti-Maddie Corman-Daniel Krell-Jon L Peacock-Gretchen Koerner-Gavin Borders-Mark August-Tressa Glover-Jessica Hecht-Di Zhu-Diane Monroe-Maxine Roach-Lesa Terry-Tahirah Whittington-Nigel Swinson-Kayla Fan-Alexander Ment-Madeline Ment-Olivia Irene Ruiz-Kiesse Yengo-Passy-Marcel Kottmann-John Castagliola-Preston Lopez-Reginald Bannerman-Spencer Lott-Haley Jenkins-Marc Petrosino-Kathleen Kim-Kathleen Antonia-Saira Awan-Krizia Bajos-Tom Bonello-Gregory Bromfield-Francesca Calò-Crystal Lonneberg-Amy Lyn Elliott-Joe Fishel-Nate Heller-Bill Isler-Kevin L. Johnson-Rosie Koster-Jim Kuhn-Michael Masini-Kirsten McCain-Patrick McDade-Phil Nardozzi-David Newell-Trevor Stevie Ray Ontiveros-Keith Otto-Khary Payton-Alex Pérez-Katrina E. Perkins-Jivan Xander Ramesh-Scott Rapp-Fred Rogers-Joanne Rogers-Edlyn Sabrina-Erika Shrout-Laura Faye Smith-Rebecca Watson-Stephen West-Rogers-Ted Williams",N/A,"9.5","N/A","Drama-Biography","PG"
2021-00-23 4:28:08,"8.5","United States of America","Bombshell: The Hedy Lamarr Story","Icon. Immigrant. Inventor.","Alexandra Dean","2017",1:29:55,"N/A","The life and career of the hailed Hollywood movie star and underappreciated genius inventor, Hedy Lamarr.","Alexandra Dean","Reframed Pictures","N/A","2017-06-01","Hedy Lamarr-Mel Brooks-Diane Kruger-Robert Osborne-Peter Bogdanovich-Denise Loder-DeLuca-Michael Tilson Thomas-Jennifer Hom-Anthony Loder-Wendy Colton-Fleming Meeks-Richard Rhodes-Anne Helen Petersen-Stephen Michael Shearer-Roy Windham-Manya Hartmayer Breuer-Guy Livingston-Tony Rothman-Danijela Cabric-Nino Amarena-Arthur McTighe-Jeanine Basinger-Lodi Loder-James Loder-William J. Birnes-Lisa Cassileth-David Hughes",N/A,"9.5","N/A","Documentary-Biography-History-War","PG-13"
2021-00-23 4:28:09,"8.1","Japan-United Kingdom-United States of America","A Brief History of Time","Where did the universe come from? Will time ever come to an end? Which came first, the chicken or the egg?","Stephen Hawking","1991",1:24:03,"N/A","Unlike the book, this film is really an anecdotal biography of Stephen Hawking. Clips of his lectures, interviews with friends and family and a little physics are thrown together.","Errol Morris","National Broadcasting Company","Brief History of Time","1991-10-25","Stephen Hawking-Isobel Hawking-Janet Humphrey-Mary Hawking-Basil King-Derek Powney-Norman Dix-Robert Berman-Gordon Berry-Roger Penrose-Dennis Sciama-John Archibald Wheeler-Brandon Carter-John R. Taylor-Kip Thorne-Don Page-Christopher Isham-Brian Whitt-Raymond Laflamme",N/A,"9.5","N/A","Documentary-Biography","G"
2021-00-23 4:28:08,"8.7","Germany-United Kingdom-United States of America","Citizenfour","Witness the event that changed history: The Edward Snowden revelations.",N/A,"2014",1:53:25,"N/A","A documentarian and a reporter travel to Hong Kong for the first of many meetings with Edward Snowden.","Laura Poitras","Praxis Films","N/A","2014-11-06","Edward Snowden-Glenn Greenwald-Laura Poitras-William Binney-Barack Obama-Jacob Appelbaum-Julian Assange-Jeremy Scahill-Kevin Bankston-Ewen MacAskill-Lindsay Mills",N/A,"9.6","N/A","Biography-Documentary-History","R"
2021-00-23 4:28:04,"8.1","United States of America","Cobain: Montage of Heck","N/A","Brett Morgen","2015",2:12:21,"N/A","Hailed as one of the most innovative and intimate documentaries of all time, experience Kurt Cobain like never before in the only ever fully authorized portrait of the famed music icon. Academy Award nominated filmmaker Brett Morgen expertly blends Cobain s personal archive of art, music, never seen before movies, animation and revelatory interviews from his family and closest friends.","Brett Morgen","Public Road Productions","N/A","2015-05-04","Kurt Cobain-Courtney Love-Krist Novoselic-Dave Grohl-Frances Bean Cobain",N/A,"9.7","N/A","Documentary-Animation-Biography-Music","NR"
2021-00-23 4:28:07,"7.7","France-United States of America","Daft Punk Unchained","N/A","Marina Rozenman-Hervé Martin-Delpierre","2015",1:24:59,"N/A","Documentary about the entire career of Daft Punk, from their start in early 90 s with their first group called Darlin , until their grammy awards in 2014. We learn how the artists have built their music, their image and all aspects of their inspiration.","Hervé Martin-Delpierre","BBC Worldwide France","N/A","2015-06-24","Thomas Bangalter-Guy-Manuel de Homem-Christo-Kanye West-Pharrell Williams-Michel Gondry-Paul Williams-Giorgio Moroder-Tony Gardner-Joseph Trapanese-Nile Rodgers-Leiji Matsumoto-Pedro Winter-Todd Edwards-Peter Lindbergh",N/A,"N/A","N/A","Documentary-Music","TV-14"
2021-00-23 4:27:59,"7.6","United Kingdom","The Edge","No England cricket team rose higher... and fell harder","Barney Douglas-Gabriel Clarke","2019",1:31:12,"N/A","Between 2009 and 2013, the England Test cricket team rose from the depths of the rankings to become the first and only English side to reach world number one (since ICC records began). The Edge is a compelling, funny and emotional insight into a band of brothers  rise to the top, their unmatched achievements and the huge toll it would take.","Barney Douglas","Noah Media Group","Edge","2019-07-17","Toby Jones-Alastair Cook-Andrew Flower-Andrew Strauss-David Saker-Graeme Swann-Ian Bell-James Anderson-Jonathan Trott-Kevin Pietersen-Matt Prior-Monty Panesar-Paul Collingwood-Steven Finn-Stuart Broad-Tim Bresnan",N/A,"N/A","N/A","Documentary-Sport","N/A"
2021-00-23 4:27:59,"9.3","Germany-United States of America-Ireland-United Kingdom","The Farthest","12 billion miles and counting...","Emer Reynolds","2017",1:56:55,"N/A","It is one of humankind s greatest achievements. More than 12 billion miles away a tiny spaceship is leaving our Solar System and entering the void of deep space - the first human-made object ever to do so.","Emer Reynolds","Crossing the Line","Farthest","2017-02-26","Carl Sagan-John Casani-Lawrence Krauss-Carolyn Porco-Timothy Ferris-Edward Stone-Nick Sagan-Larry Soderblom-Charley Kohlhase-Fran Bagenal-James F. Bell-Frank Locatell-Suzanne Dodd-Jon Lomberg-Heidi Hammel-Candy Hansen-Andrew Ingersoll-Dave Linick-Fernando Peralta-Linda J. Spilker-Tom Spilker-Janet Sternberg-Amahl Drake-Don Gurnett-Stamatios Krimigis-Linda Morabito-Bradford A. Smith-Richard John Terrile-Frank Drake",N/A,"10","N/A","Documentary-History","PG"
2021-00-23 4:27:58,"9.3","United States of America","The Fog of War","N/A",N/A,"2003",1:47:02,"N/A","Using archival footage, cabinet conversation recordings, and an interview of the 85-year-old Robert McNamara, The Fog of War depicts his life, from working as a WWII whiz-kid military officer, to being the Ford Motor Company s president, to managing the Vietnam War as defense secretary for presidents Kennedy and Johnson.","Errol Morris","SenArt Films","Fog of War","2003-05-21","Robert McNamara-Errol Morris-Fidel Castro-Barry Goldwater-John F. Kennedy-Nikita Khrushchev-Curtis LeMay-Richard Nixon-Harry Reasoner-Franklin D. Roosevelt-Woodrow Wilson",N/A,"9.6","N/A","Documentary-War-History-Biography","PG-13"
2021-00-23 4:28:07,"9.3","United States of America","Free Solo","Live beyond fear",N/A,"2018",1:40:03,"N/A","Follow Alex Honnold as he attempts to become the first person to ever free solo climb Yosemite s 3,000 foot high El Capitan wall. With no ropes or safety gear, this would arguably be the greatest feat in rock climbing history.","Elizabeth Chai Vasarhelyi-Jimmy Chin","National Geographic","N/A","2018-08-11","Alex Honnold-Tommy Caldwell-Jimmy Chin-Sanni McCandless-Mikey Schaefer-Cheyne Lempe",N/A,"9.7","N/A","Documentary-Adventure-Sport","PG-13"
2021-00-23 4:28:07,"8.6","United States of America","Fyre","The Greatest Party That Never Happened","Chris Smith","2019",1:38:42,"N/A","An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.","Chris Smith","Jerry Media","N/A","2019-01-18","Billy McFarland-Ja Rule-Jason Bell-Gabrielle Bluestone-Shiyuan Deng-Michael Ciccarelli-Mdavid Low-Samuel Krost-Andy King-J.R.-Brett Kincaid-Mick Purzycki-James Ohliger-Grant Margolin-Keith van der Linde-Marc Weinstein-Martin Howell-Mark Musters-Luca Sabatini-Adam Renna-Mary Ann Rolle-Calvin Wells-Jillionaire-Seth Crossno-Mark Crawford-Columbo-Justin Liao-Stacy Miller-Ben Meiselas-Kindo-Carola Jain-Alyssa Lynch-C.C. Clarke-Rose Bertram-Hailey Bieber-Bella Hadid-Elsa Hosk-Chanel Iman-Kendall Jenner-Lais Ribeiro-Shanina Shaik-Gizele Oliveira-Emily Ratajkowski-Alessandra Ambrosio-Ron Funches-Conan O Brien-Andy Richter",N/A,"9.2","N/A","Documentary-TV Movie-Crime-Music","TV-MA"
2021-00-23 4:28:06,"7.2","United Kingdom","Hawking","A remarkable man. A remarkable story.","Stephen Hawking-Ben Bowie-Stephen Finnigan","2013",1:33:05,"N/A","The extraordinary story of the planet’s most famous contemporary scientist, told in his own words and by those closest to him. Made with unique access to Hawking’s private life, this is an intimate and moving journey into Stephen s world, both past and present.","Stephen Finnigan","Channel 4 Television","N/A","2013-09-20","Stephen Hawking",N/A,"8.5","N/A","Documentary-Biography-Comedy-Drama","R"
2021-00-23 4:28:06,"9","United States of America","Hearts and Minds","The Forever War. Goes On",N/A,"1974",0:19:24,"N/A","A startling and courageous landmark documentary that unflinchingly confronted the United States  involvement in Vietnam at the height of the controversy that surrounded it.","Peter Davis","BBS Productions","N/A","1974-05-16","Georges Bidault-Clark Clifford-George Coker",N/A,"9","N/A","History-War-Documentary","R"
2021-00-23 4:28:06,"7.5","United States of America","Hired Gun","Out of the Shadows, Into the Spotlight.","Fran Strine-Tim Calandrello","2017",1:38:27,"N/A","A documentary film about session and touring musicians that are hired by well established and famous bands and artists like Metallica, KISS, and Billy Joel. These hired guns may not be household names, but are still masters of their craft.","Fran Strine","Drama Kills","N/A","2017-08-01","Kenny Aronoff-Phil Chen-Alice Cooper-Justin Derrico-Liberty DeVitto-David Foster-Siedah Garrett-Jay Graydon-Corky Hale-Michael Fish Herring-Derek St. Holmes-Jason Hook-John J.R. Robinson-Russell Javors-John 5-Dave Koz-Aaron Lewis-Steve Lukather-Jason Newsted-Ray Parker, Jr.-Richard Patrick-Greg Phillinganes-Pink-Rudy Sarzo-Mark Shulman-Eric Singer-Glen Sobel-Nita Strauss-Steve Vai-Rob Zombie-Jeremy Spencer",N/A,"5","N/A","Documentary-Music","Not Rated"
2021-00-23 4:28:06,"9.1","United States of America","Hitting the Apex","N/A","Mark Neale","2015",2:24:19,"N/A"," Hitting the Apex  is the story of six fighters - six of the fastest motorcycle racers the world has ever seen - and of the fates that awaited them at the peak of the sport. It is the story of what is at stake for all of them: all that can be won and all that can be lost when you go chasing glory at over 200mph - on a motorcycle.","Mark Neale","First Movie Companie","N/A","2015-09-02","Brad Pitt-Valentino Rossi-Dani Pedrosa-Casey Stoner-Jorge Lorenzo-Marco Simoncelli-Marc Márquez",N/A,"N/A","N/A","Documentary-Sport","Not Rated"
2021-00-23 4:28:05,"9.1","United States of America","How to Make Money Selling Drugs","N/A","Matthew Cooke","2012",1:34:12,"N/A","Ten easy steps show you how to make money from drugs, featuring a series of interviews with drug dealers, prison employees, and lobbyists arguing for tougher drug laws.","Matthew Cooke","Bert Marcus Productions","N/A","2012-09-03","Matthew Cooke-Woody Harrelson-Susan Sarandon-Barry Cooper-Eminem-50 Cent-David Simon-Arianna Huffington- Freeway  Ricky Ross",N/A,"7.6","N/A","Crime-Documentary","NR"
2021-00-23 4:28:05,"8.2","United States of America","How to Survive a Plague","N/A","David France-Tyler H. Walk-Woody Richman","2012",1:50:32,"N/A","A story of two coalitions – ACT UP and TAG (Treatment Action Group) – whose activism and innovation turned AIDS from a death sentence into a manageable condition. Despite having no scientific training, these self-made activists infiltrated the pharmaceutical industry and helped identify promising new drugs, moving them from experimental trials to patients in record time.","David France","Public Square Films","N/A","2012-01-12","Larry Kramer",N/A,"9.8","N/A","Documentary-History-News","NR"
2021-00-23 4:27:58,"7.8","United Kingdom","The Imposter","There are two sides to every lie.","Bart Layton","2012",1:39:35,"N/A","In 1994, a thirteen year old boy disappeared from San Antonio, Texas. Three and a half years later, he is found alive and well thousands of miles away in Europe. He tells a story of kidnap and torture when he returns. While his family is excited to bring him home, all is not as it seem.","Bart Layton","RAW","Imposter","2012-08-24","Frédéric Bourdin-Adam O Brian-Anna Ruben-Cathy Dresbach-Alan Teichman-Ivan Villanueva-María Jesús Hoyos-Ken Appledorn-Mary Twala-Seipati Motshwane",N/A,"9.5","N/A","Documentary-Drama-Crime-Biography-Thriller-Mystery","R"
2021-00-23 4:28:05,"9.1","United States of America-United Kingdom","In the Shadow of the Moon","Remember when the whole world looked up",N/A,"2007",1:40:54,"N/A","In the 1960s, US President John F Kennedy proposed landing a man on the moon before the decade was finished. This film has interviews with most of the surviving astronauts of the Apollo program who were making ready to make that great voyage with an army of experts determined to make the endeavor possible. Through training, tragedy and triumph, we follow the greatest moments of one of Humanity s great achievements.","David Sington","Discovery Films","N/A","2007-11-02","Buzz Aldrin-Michael Collins-Alan Bean-Eugene Cernan-Charlie Duke-Jim Lovell-Edgar D. Mitchell-Harrison Schmitt-John Young",N/A,"9.5","N/A","Documentary-History","PG"
2021-00-23 4:28:04,"9.1","United States of America","Inside Job","The film that cost $20,000,000,000,000 to make","Chad Beck-Adam Bolt","2010",1:49:39,"N/A","A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.","Charles Ferguson","Sony Pictures","N/A","2010-11-12","Matt Damon-William Ackman-Barack Obama-George W. Bush-Jonathan Alpert-Christine Lagarde-Ann Curry-Daniel Alpert-Sigridur Benediktsdottir-Gylfi Zoega-Andri Snær Magnason-Paul Volcker-Dominique Strauss-Kahn-George Soros-Barney Frank-David McCormick-Scott Talbott-Andrew Sheng-Lee Hsien Loong-Gillian Tett-Nouriel Roubini-R. Glenn Hubbard-Eliot Spitzer-Samuel Hayes-Charles Morris-Robert Gnaizda-Willem Buiter-Andrew Lo-Michael Greenberger-Satyajit Das-Frank Partnoy-Eric Halperin-Martin Wolf-Kenneth Rogoff-Raghuram Rajan-Lawrence McDonald-Harvey Miller-Kristin Davis-Allan Sloan-Jerome Fons-Frederic Mishkin",N/A,"9.8","N/A","Documentary-Crime","PG-13"
2021-00-23 4:27:58,"7.5","United States of America","The Inventor: Out for Blood in Silicon Valley","Visionary. Billionaire. Fraud?","Alex Gibney","2019",1:59:53,"N/A","With a magical new invention that promised to revolutionize blood testing, Elizabeth Holmes became the world’s youngest self-made billionaire, heralded as the next Steve Jobs. Then, overnight, her 10-billion-dollar company dissolved. The rise and fall of Theranos is a window into the psychology of fraud.","Alex Gibney","Jigsaw Productions","Inventor: Out for Blood in Silicon Valley","2019-03-18","Alex Gibney-Elizabeth Holmes-Ramesh  Sunny  Balwani-Errol Morris-Dan Ariely-Roger Parloff-John Carreyrou-Tyler Shultz-Erika Cheung-Dave Philippides-David Boies-Cheryl Gafner-Ken Auletta-Tony Nugent-Phyllis Gardner-Rochelle Gibbons-Henry Kissinger-Joe Biden-Bill Clinton-Richard Nixon-Barack Obama-Rupert Murdoch",N/A,"7.9","N/A","Documentary","TV-14"
2021-00-23 4:28:04,"8.3","United States of America-United Kingdom","Journey to the Edge of the Universe","N/A","Nigel Henbest","2008",1:36:10,"N/A","In one single, epic camera move we journey from Earth s surface to the outermost reaches of the universe on a grand tour of the cosmos, to explore newborn stars, distant planets, black holes and beyond.","Yavar Abbas","National Geographic","N/A","2008-12-07","Alec Baldwin-Sean Pertwee",N/A,"N/A","N/A","Documentary-Family","G"
2021-00-23 4:28:04,"8.9","United States of America","Lemmy","49% Motherf**ker, 51% Son of a Bitch","Greg Olliver-Wes Orshoski","2010",1:57:53,"N/A","Over four decades, Motorhead frontman Lemmy  Kilmister has registered an immeasurable impact on music history. Nearly 65, he remains the living embodiment of the rock and roll lifestyle, and this feature-length documentary tells his story, one of a hard-living rock icon who continues to enjoy the life of a man half his age.","Greg Olliver-Wes Orshoski","Stay Free Films","N/A","2010-03-12","Lemmy-Dave Brock-Phil Campbell- Fast  Eddie Clarke-Jarvis Cocker-Alice Cooper-Mikkey Dee-C.C. DeVille-David Ellefson-Jason Everman-Lars Frederiksen-Kirk Hammett-James Hetfield-Peter Hook-Scott Ian-Ice-T-Paul Inder-Pepper Keenan-Paul Michael Lévesque-Duff McKagan-Dave Navarro-Jason Newsted-Ozzy Osbourne-Corey Parks-Marky Ramone-Captain Sensible-Slash-Dee Snider-Matt Sorum-Shel Talmy-Robert Trujillo-Nik Turner-Lars Ulrich-Steve Vai-Kat Von D-Dave Grohl-Dave Vanian-Nikki Sixx-Henry Rollins-Mick Jones",N/A,"8.3","N/A","Documentary-Biography-Music","NR"
2021-00-23 4:27:58,"9","Denmark-Finland-France-Germany-Indonesia-Israel-Netherlands-Norway-United Kingdom-United States of America","The Look of Silence","Profound, Visionary, Stunning.",N/A,"2014",1:39:22,"N/A","A family that survived the genocide in Indonesia confronts the men who killed one of their brothers.","Joshua Oppenheimer","Making Movies","Look of Silence","2014-11-13","Adi Rukun-M.Y. Basrun-Amir Hasan-Inong-Kemat-Joshua Oppenheimer-Amir Siahaan-Ted Yates",N/A,"9.6","N/A","Documentary-Biography-History","PG-13"
2021-00-23 4:28:03,"7.9","United States of America","Louis C.K.: Live at the Comedy Store","N/A","Louis C.K.","2015",1:06:30,"N/A","Comedian Louis C.K. performs live at the Comedy store in LA.","Louis C.K.","Pig Newton","N/A","2015-01-27","Louis C.K.-Jay London",N/A,"N/A","N/A","Comedy","NR"
2021-00-23 4:27:57,"6.4","Denmark-Latvia-Russian Federation-United States of America","The Man Who Saved the World","Every moment counts","Peter Anthony","2014",1:45:19,"N/A","Retired Soviet Lt. Col. Stanislav Petrov, who saved the world from WW3, talks about his life as retiree and shares his opinions on the Cold War with actor Kevin Costner in this melancholic mixture of documentary and reenacted footage.","Peter Anthony","Det Danske Filminstitut","Man Who Saved the World","2014-07-17","Stanislav Petrov-Kevin Costner-Matt Damon-Robert De Niro-Sergey Shnyryov",N/A,"6.8","N/A","Drama-Documentary-Biography-History-War","N/A"
2021-00-23 4:28:03,"8.3","United States of America","Metallica: Some Kind of Monster","Documentary Making of St. Anger",N/A,"2004",2:21:34,"N/A","Some Kind of Monster is a music documentary about Metallica s making of their album St. Anger and the difficulties they had to go through in the process. The directors shot over 1200 hours and followed the band around night and day for over a year to create this documentary.","Joe Berlinger-Bruce Sinofsky","Electra Entertainment","N/A","2004-01-21","James Hetfield-Lars Ulrich-Kirk Hammett-Robert Trujillo-Jason Newsted-Dave Mustaine-Bob Rock-Phil Towle",N/A,"8.9","N/A","Documentary-Music","R"
