Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-23 4:28:12,"9.2","United States of America","Aladdin","Wish granted!","Ted Elliott-Terry Rossio-Ron Clements-John Musker-Roger Allers","1992",1:31:41,"N/A","Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.","Ron Clements-John Musker","Walt Disney Pictures","N/A","1992-11-25","Scott Weinger-Robin Williams-Linda Larkin-Jonathan Freeman-Gilbert Gottfried-Frank Welker-Douglas Seale-Brad Kane-Lea Salonga-Bruce Adler-Charlie Adler-Jack Angel-Corey Burton-Philip L. Clarke-Jim Cummings-Jennifer Darling-Debi Derryberry-Bruce Gooch-Jerry Houser-Vera Lockwood-Sherry Lynn-Mickie McGowan-Patrick Pinney-Phil Proctor-Hal Smith",N/A,"9.5","N/A","Animation-Family-Comedy-Adventure-Fantasy-Romance-Musical","G"
2021-00-23 4:28:16,"7.8","United States of America","Alice in Wonderland","A world of wonders in one great picture!","Aldous Huxley","1951",1:15:16,"N/A","On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice s journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!","Hamilton Luske-Wilfred Jackson-Clyde Geronimi","Walt Disney Animation Studios","N/A","1951-09-14","Kathryn Beaumont-Ed Wynn-Richard Haydn-Sterling Holloway-Jerry Colonna-Verna Felton-J. Pat O Malley-Bill Thompson-Heather Angel-Joseph Kearns-Larry Grey-Queenie Leonard-Dink Trout-Doris Lloyd-James MacDonald-Thurl Ravenscroft-Bill Lee-Max Smith-Bob Hamlin-Don Barclay-Lucille Bliss-Pinto Colvig-Tommy Luske-Clarence Nash-Marni Nixon-Norma Zimmer",N/A,"8.1","N/A","Animation-Musical-Family-Fantasy-Adventure","G"
2021-00-23 22:02:58,"7","United States of America","The Aristocats","A tune-filled animated extravaganza.","Larry Clemmons-Ken Anderson-Vance Gerry-Frank Thomas-Eric Cleworth","1970",1:18:28,"N/A","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","Wolfgang Reitherman","Walt Disney Pictures","Aristocats","1970-12-24","Phil Harris-Sterling Holloway-Scatman Crothers-Eva Gabor-Paul Winchell-Lord Tim Hudson-Vito Scotti-Thurl Ravenscroft-Dean Clark-Liz English-Gary Dubin-Nancy Kulp-Pat Buttram-George Lindsey-Monica Evans-Robie Lester",N/A,"6.4","N/A","Animation-Comedy-Family-Adventure-Musical","G"
2021-00-23 4:28:21,"7","France","Asterix: The Secret of the Magic Potion","Behalte das Geheimnis für dich","Alexandre Astier","2018",1:25:55,"N/A","Following a fall during mistletoe picking, Druid Panoramix decides that it is time to secure the future of the village. Accompanied by Astérix and Obelix, he undertakes to travel the Gallic world in search of a talented young druid to transmit the Secret of the Magic Potion.","Alexandre Astier-Louis Clichy","M6 Studio","N/A","2018-12-05","Christian Clavier-Guillaume Briat-Alex Lutz-Alexandre Astier-Élie Semoun-Daniel Mesguich-Bernard Alane-François Morel-Lionnel Astier-Florence Foresti-Ethan Astier-Dominique Bastien-Yoann Blanc-Patrick Bonnel-Eric Bougnon-Max Brunner-Simon Brunner-Jacques Chambon-Louis Clichy-Krystoff Fluder-Gérard Hernandez-Luna Karys-Daniel Laloux-Antoine Lelandais-Arnaud Léonard-Philippe Morier-Genoud-Laurent Morteau-Nicky Naudé-Serge Papagalli-Patrick Pineau-Franck Pitiot-François Raison-François Rollin-Olivier Saladin-Romain Segaud-Joëlle Sevilla-Lévanah Solomon-C. Ernst Harth-Ken Kramer",N/A,"6.5","Astérix - Le Secret de la Potion Magique","Animation-Family-Comedy-Fantasy-Adventure","ch/U"
2021-00-23 4:28:14,"2.5","United States of America","Atlantis: Milo s Return","The all-new adventures","David Reynolds-Tad Stones-Henry Gilroy-Kevin Hopps-Marty Isenberg","2003",1:21:33,"N/A","Milo and Kida reunite with their friends to investigate strange occurances around the world that seem to have links to the secrets of Atlantis.","Victor Cook-Tad Stones-Toby Shelton","Disney Television Animation","N/A","2003-05-20","James Arnold Taylor-Cree Summer-John Mahoney-Jacqueline Obradors-Don Novello-Corey Burton-Phil Morris-Florence Stanley-Frank Welker-Steven Barr-Clancy Brown-Jean Gilpin-Kai Rune Larsen-Bill Fagerbakke-Thomas F. Wilson-Jeff Bennett-William Morgan Sheppard",N/A,"N/A","N/A","Animation-Fantasy-Science Fiction-Family-Action-Adventure-Drama-Comedy","G"
2021-00-23 4:28:15,"5.4","United States of America","Atlantis: The Lost Empire","Atlantis is waiting...","David Reynolds-Joss Whedon-Tab Murphy-Gary Trousdale-Kirk Wise","2001",1:36:44,"N/A","The world s most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team s mission must switch from exploring Atlantis to protecting it.","Gary Trousdale-Kirk Wise","Walt Disney Animation Studios","N/A","2001-06-15","Michael J. Fox-Corey Burton-Claudia Christian-James Garner-John Mahoney-Phil Morris-Leonard Nimoy-Don Novello-Jacqueline Obradors-Florence Stanley-David Ogden Stiers-Natalie Strom-Cree Summer-Jim Varney-Jim Cummings-Patrick Pinney",N/A,"4.9","N/A","Family-Animation-Action-Adventure-Science Fiction-Fantasy","ch/7"
2021-00-23 4:28:10,"7.3","United States of America","Bambi","A great love story.","Felix Salten-Perce Pearce-Mel Shaw-Vernon Stallings-Ralph Wright","1942",1:10:51,"N/A","The story of a young deer growing up in the forest.","David Hand","Walt Disney Productions","N/A","1942-08-21","Donnie Dunagan-Peter Behn-Stan Alexander-Cammie King-Will Wright-Hardie Albright-Ann Gillis-Tim Davis-Sam Edwards-Sterling Holloway-Otis Harlan-Thelma Boardman-Clarence Nash-Marion Darlington",N/A,"9","N/A","Animation-Drama-Family","G"
2021-00-23 4:28:20,"9.2","United States of America","Beauty and the Beast","The most beautiful love story ever told.","Joe Ranft-Kelly Asbury-Roger Allers-Linda Woolverton-Brenda Chapman","1991",1:32:45,"N/A","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who s been turned into a mysterious beast. With the help of the castle s enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","Gary Trousdale-Kirk Wise","Walt Disney Animation Studios","N/A","1991-11-22","Paige O Hara-Robby Benson-Richard White-Jerry Orbach-David Ogden Stiers-Angela Lansbury-Rex Everhart-Jesse Corti-Bradley Pierce-Hal Smith-Jo Anne Worley-Mary Kay Bergman-Kath Soucie-Alvin Epstein-Tony Jay-Brian Cummings-Alex Murphy-Kimmy Robertson-Frank Welker-Sherry Lynn-Mickie McGowan-Jack Angel-Bruce Adler-Scott Barnes-Vanna Bonta-Maureen Brennan-Liz Callaway-Philip L. Clarke-Margery Daley-Jennifer Darling-Albert de Ruiter-George Dvorsky-Bill Farmer-Bruce Fifer-Johnson Flucker-Larry Hansen-Randy Hansen-Mary Ann Hart-Phyllis Kubey-Hearndon Lackey-Larry Moss-Panchali Null-Wilbur Pauley-Jennifer Perito-Caroline Peyton-Patrick Pinney-Cynthia Richards-Hewes-Phil Proctor-Sergio Corbucci-Stephen Sturk",N/A,"9.4","N/A","Animation-Romance-Family-Fantasy-Musical-Comedy","G"
2021-00-23 4:28:21,"8","United States of America","Beauty and the Beast","Be our guest.","Stephen Chbosky-Linda Woolverton-Evan Spiliotopoulos","2017",2:09:17,"N/A","Disney s animated classic takes on a new form, with a widened mythology and an all-star cast. A young Prince, imprisoned in the form of a Beast (Dan Stevens), can be freed only by true love. What may be his only opportunity arrives when he meets Belle (Emma Watson), the only human girl to ever visit the castle since it was enchanted.","Bill Condon","Walt Disney Pictures","N/A","2017-03-17","Emma Watson-Dan Stevens-Luke Evans-Josh Gad-Kevin Kline-Hattie Morahan-Haydn Gwynne-Gerard Horan-Ray Fearon-Ewan McGregor-Ian McKellen-Emma Thompson-Nathan Mack-Audra McDonald-Stanley Tucci-Gugu Mbatha-Raw-Clive Rowe-Thomas Padden-Rita Davies-D.J. Bailey-Adrian Schiller-Harriet Jones-Adam Mitchell-Tom Turner-Michael Jibson-Zoe Rainey-Daisy Duczmal-Jolyon Coy-Jimmy Johnston-Dean Street-Alexis Loizon-Sophie Reid-Rafaëlle Cohen-Carla Nella-Obioma Ugoala-Lynne Wilmot-Jane Fowler-Alison Harding-Chris Andrew Mellon-Jemma Alexander-Sandy Strallen-Dale Branston-Daniel Ioannou-Peter Challis-Wendy Baldock-Norma Atallah-Leo Andrew-Steven Butler-Sharon Gomez-Jacqui Jameson-Vivien Parry-Simone Sault-Beth Willetts-Mandy Montanez-Tom Oakley-William Bozier-Jak Allen-Anderson-Phil Grannel-Freddie August-Nicola Keen-Ebony Molina-Alison Jenkins-Ellen O Grady-Dawn Buckland-Rebecca Mckinnis-Jody Hall-Ben Fox-Nathan Vaughan Harris-Tim Stanley-Ben Clare-Marina Abdeen-Danielle Acors-Hayley Ainsley-Rhianne Alleyn-Gabby Antrobus-Sophie Atkins-Koko Basigara-Holly Bluett-Daisy Boyles-Ava Brennan-Sophia Brown-Sophie Carmen-Jones-Cassie Clare-Tanya Cumberland-Natalie Davis-Paige Drury-Lawrence-Stephanie Elstob-Cordelia Farnworth-Cj Field-Lily Frazer-Lucy Alexa Gilbert-Helen Gulstan-Selina Hamilton-Leah Hill-Abigayle Honeywill-Chelsea Inez-Blythe Jandoo-Shireen Jathoonia-Billie Kay-Piper-Hannah Kenna-Thomas-Ella Kora-Jennifer Leung-Emily Loumba-Cassie Macmillian-Fiona McDonald-Samira Mighty-Sonoya Mizuno-Anna Momcilovic-Nicola Mooi-Nicole O Neill-Abiona Omonua-Jazz Peters-Courtney Pruce-Kayla Radam-Katie Singh-Lucy St Louis-Ruth Steele-Jasmine Takacs-Naomi Weijand-Leah West-Skye Lucia Degruttola-Timia Julien-Box-Adelaide Morgan-Gemma Fray-Lara Decaro-Max Brophy-Samuel Brown-Daniel Daszek-Green-Freddie Hunter-Joey Brown-Tom Burgering-Nate Leung-Kai Gordon-Oscar Francisco-Harry Marcus",N/A,"7.1","N/A","Musical-Family-Fantasy-Romance","ch/6"
2021-00-23 4:28:18,"9.1","United States of America","Big Hero 6","From the creators of Wreck-It Ralph and Frozen.","Daniel Gerson-Robert L. Baird-Jordan Roberts-Duncan Rouleau-Joseph Mateo","2014",1:42:53,"1","When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called  Big Hero 6. ","Chris Williams-Don Hall","Walt Disney Pictures","N/A","2014-11-07","Scott Adsit-Ryan Potter-Daniel Henney-T. J. Miller-Jamie Chung-Damon Wayans Jr.-Génesis Rodríguez-James Cromwell-Alan Tudyk-Maya Rudolph-Abraham Benrubi-Katie Lowes-Billy Bush-Daniel Gerson-Paul Briggs-Charlie Adler-Marcella Lentz-Pope-David Shaughnessy-Cam Clarke-Nicholas Guest-Terri Douglas-Tim Mertens-Yuri Lowenthal-Sundra Oakley-Brian R. Norris-Stan Lee-Shane Sweet-Frank Welker-David Cowgill-Kirk Baily-Charlotte Gulezian-Reed Buck-Roy Conli-Cooper Cowgill-Jackie Gonneau-Marlie Crisafulli-Bridget Hoffman-Kelly Hoover-Leah Latham-James Taku Leung-Yumi Mizui-Michael Powers-Lynwood Robinson-Josie Trinidad-Daniel Howell-June Christopher-Phil Lester",N/A,"9","N/A","Animation-Action-Adventure-Family-Comedy-Drama-Science Fiction","ch/6"
