Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-24 1:12:48,"7.5","Russian Federation-Ukraine-Finland","9th Company","They stood together while their country fell apart","Yuri Korotkov-Iskander Galiev","2005",2:19:13,"N/A","The film tells about the fate of a group of seven recruits, called up for military service in the Armed Forces of the USSR in the late 1980s from Krasnoyarsk, and after several months of training sent to the DRA. The picture partially describes the events that occurred in early 1988, during Operation Magistral, when the paratroopers of the 9th company of the 345th separate paratrooper regiment took battle at Hill 3234.","Fyodor Bondarchuk","Art Pictures Group","N/A","2005-09-29","Aleksey Chadov-Artur Smolyaninov-Konstantin Kryukov-Ivan Kokorin-Artyom Mikhalkov-Soslan Fidarov-Mikhail Porechenkov-Dmitry Mukhamadeyev-Fyodor Bondarchuk-Amadu Mamadakov-Mikhail Evlanov-Marat Gudiev-Aleksandr Bashirov-Ivan Nikolaev-Irina Rakhmanova-Andrey Krasko-Stanislav Govorukhin",N/A,"6.9","9 рота","Drama-History-War-Action","R"
2021-00-24 1:01:04,"9.7","United States of America","12 Angry Men","Life is in their hands. Death is on their minds.","Reginald Rose","1957",1:36:22,"N/A","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors  prejudices and preconceptions about the trial, the accused, and each other.","Sidney Lumet","United Artists","N/A","1957-04-10","Martin Balsam-John Fiedler-Lee J. Cobb-E.G. Marshall-Jack Klugman-Edward Binns-Jack Warden-Henry Fonda-Joseph Sweeney-Ed Begley-George Voskovec-Robert Webber-Rudy Bond-Tom Gorman-James Kelly-Billy Nelson-John Savoca-Walter Stocker",N/A,"10","N/A","Drama-Crime","NR"
2021-02-28 14:09:44,"8.1","Norway","The 12th Man","Based on a true story of survival and hope","Petter Skavlan","2017",2:16:45,"N/A","True World War II story about Jan Baalsrud, one of the 12 saboteurs sent in 1943 from England to the Nazi occupied Northern Norway. After their boat is sunk by the Germans, Jan goes on the run towards the neutral Sweden. However, the brutal weather conditions turn out to possibly be an even greater foe than the Nazi patrols.","Harald Zwart","Zwart Arbeid","12th Man","2017-12-25","Thomas Gullestad-Jonathan Rhys Meyers-Marie Blokhus-Mads Sjøgård Pettersen-Martin Kiefer-Vegar Hoel-Håkon Thorstensen Nielsen-Eirik Risholm Velle-Daniel Frikstad-Alexander Zwart-Eric Dirnes-Torgny Aanderaa-Håkon Smeby-Kenneth Åkerland Berg-Axel Barø Aasen-Ole Victor Corral-Maria Grazia Di Meo-Sigurd Kornelius Lakseide-Zoe Winter-Hansen-Frida Mathea Sørbøe-Ragna Schwenke-Nikolas Steffensen Krane-Tiril Holthe Harnang-Marius Lien-Aggie Peterson-Bernt Bjørn-Jardar Johnsen-Kristoffer Jørgensen-Julia Bache-Wiig-Sigurd Heine Krogh-Åsgeir Johansen-Mathilde Sofie Henriksen-Robin Olsen-Ådne August Robertsen-Kim Jøran Olsen-Martin Eliassen-J.I. Falck-Trond Peter Stamsø Munch-Jørn Myreng-Alexander Os-Elin Merethe Larsen-Petter Johanas Lukkari-Aslak Mahtte Turi Gaup-Nils Utsi-David Vekony-Erich Redman-Kjartan Rumpsfeld-Knut-Erik Helland Barland-Alex Fischer-Johannes Gleitz-Jens Lidel-Benjamin Reusser-Patrick Egersborg-Johannes Lerchenmüller-Marcel Grube-Harry Van Gorkum-Petter Holmsen-Jonas Fredheim-Anders Wang-Jørn Magnus Karlsen",N/A,"8.6","Den 12. mann","Drama-War-History-Thriller","NR"
2021-00-24 1:08:35,"8.9","United States of America","300","Spartans, prepare for glory!","Frank Miller","2007",1:57:33,"1","Based on Frank Miller s graphic novel,  300  is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world s first democracy.","Zack Snyder","Virtual Studios","N/A","2007-03-09","Gerard Butler-Lena Headey-Dominic West-David Wenham-Vincent Regan-Michael Fassbender-Tom Wisdom-Stephen McHattie-Andrew Tiernan-Andrew Pleavin-Rodrigo Santoro-Giovani Cimmino-Tyler Neitzel-Eli Snyder-Tim Connolly-Marie-Julie Rivest-Peter Mensah-Arthur Holden-Michael Sinelnikoff-Kelly Craig-Greg Kramer-Alex Ivanovici-Tom Rack-David Francis-James Bradford-Sebastian St. Germain-John Dunn-Hill-Dennis St John-Neil Napier-Dylan Smith-Maurizio Terrazzano-Robert Paradis-Kwasi Songui-Alexandra Beaton-Frédéric Smith-Loucas Minchillo-Nicholas Minchillo-Andrew Shaver-Marcel Jeannin-Jere Gillis-Robin Wilcock-Jeremy Thibodeau-Tyrone Benskin-Robert Maillet-Patrick Sabongui-David Schaap-Leon Laderach-Dave Lapommeray-Vervi Mauricio-Charles Papasoff-Isabelle Champeau-Veronique Natalie Szalankiewicz-Maéva Nadon-David Thibodeau-Jean Michel Paré-Stewart Myiow-Andreanne Ross-Sara Giacalone-Ariadne Bourbonnière-Isabelle Fournel-Sandrine Merette-Attiow-Danielle Hubbard-Elisabeth Etienne-Ruan Vibegaard-Genevieve Guilbault-Bonnie Mak-Amélie Sorel-Caroline Aspirot-Gina Gagnon-Tania Trudel-Stéphanie Aubry-Mercedes Leggett-Stephania Gambaroff-Chanelle Lamothe-Sabrina-Jasmine Guilbault-Manny Cortez Tuazon-Atif Y. Siddiqi-Camille Rizkallah-Trudi Hanley-Neon Cobran-Gary A. Hecker-Deke Richards-Darren Shahlavi-Marc Trottier-Duy Vo Van-Agnieshka Wnorowska-David Leitch",N/A,"6.1","N/A","Action-Adventure-War-Drama-History","ch/16"
2021-00-24 1:09:43,"5.1","United States of America","300: Rise of an Empire","Seize your glory!","Frank Miller-Zack Snyder-Kurt Johnstad-Jay Oliva","2014",1:43:37,"1","Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.","Noam Murro","Legendary Pictures","N/A","2014-03-07","Sullivan Stapleton-Eva Green-Lena Headey-Callan Mulvey-David Wenham-Rodrigo Santoro-Jack O Connell-Andrew Tiernan-Ashraf Barhom-Andrew Pleavin-Hans Matheson-Peter Mensah-Ben Turner-Christopher Boyer-Fred Ochs-Price Carson-John Michael Herndon-David Pevsner-Peter Ferdinando-Igal Naor-Luke Roberts-George Georgiou-Farshad Farahat-Christopher Sciueref-Steven Cree-Caitlin Carmichael-Jade Chynoweth-Kevin Fry-David Sterne-Gregor Truter-Vincent Walsh-Nick Court-Mark Killeen-Stefan Ivanov-Atanas Srebrev-Mark Aaron Wagner-Nancy McCrumb-Bo Roberts-Gregory Shelby-Wayne Dalglish-Velimir Velev-Dimo Alexiev-Georgi Stanislavov-Dimiter Doichinov-Velizar Peev",N/A,"4.5","N/A","Action-Drama","ch/16"
2021-00-24 1:03:22,"8.8","Canada-China-India-Spain-United Kingdom-United States of America","1917","Time is the enemy","Sam Mendes-Krysty Wilson-Cairns","2019",1:59:58,"N/A","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Sam Mendes","Universal Pictures","N/A","2019-12-04","George MacKay-Dean-Charles Chapman-Mark Strong-Andrew Scott-Richard Madden-Claire Duburcq-Colin Firth-Benedict Cumberbatch-Daniel Mays-Adrian Scarborough-Chris Walley-Nabhaan Rizwan-Jamie Parker-Tommy French-Paul Tinto-Billy Postlethwaite-Richard McCabe-Justin Edwards-Jonny Lavelle-Gabriel Akuwudike-Pip Carter-Michael Jibson-Andy Apollo-Josef Davies-Spike Leighton-Robert Maaser-Gerran Howell-Adam Hugill-Benjamin Adams-Anson Boon-Kenny Fullwood-Ryan Nolan-Elliot Baxter-Bogdan Kumshatsky-Kye Mckee-Ivy-I Macnamara-Merlin Leonhardt-Taddeo Kufus-Jos Slovick-Luke Hornsby-Jack Shalloo-Elliot Edusah-Joe Mendes-Jacob James Beswick-Ian Wilson-Bradley Connor-John Hollingworth-Daniel Attwell-Samson Cox-Vinell-Richard Dempsey-Phil Cheadle-Jonah Russell-Michael Rouse",N/A,"8.9","N/A","Drama-War-Action-Thriller-History","ch/14"
2021-00-24 1:05:53,"8.9","United Kingdom-United States of America","2001: A Space Odyssey","The Ultimate Trip.","Stanley Kubrick-Arthur C. Clarke","1968",2:29:49,"N/A","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Stanley Kubrick","Stanley Kubrick Productions","N/A","1968-05-12","Keir Dullea-Gary Lockwood-William Sylvester-Douglas Rain-Daniel Richter-Leonard Rossiter-Margaret Tyzack-Robert Beatty-Sean Sullivan-Frank Miller-Ed Bishop-Edwina Carroll-Heather Downham-Penny Brahms-Maggie d Abo-Chela Matthison-Judy Kiern-Alan Gifford-Ann Gillis-Vivian Kubrick-Kenneth Kendall-Kevin Scott-Martin Amor-Bill Weston-Glenn Beck-Mike Lovell-John Ashley-Jimmy Bell-David Charkham-Simon Davis-Jonathan Daw-Péter Delmár-Terry Duggan-David Fleetwood-Danny Grover-Brian Hawley-David Hines-Tony Jackson-John Jordan-Scott MacKee-Laurence Marchant-Darryl Paes-Joe Refalo-Andy Wallace-Bob Wilyman-Richard Woods-S. Newton Anderson-Sheraton Blount-Ann Bormann-Julie Croft-Penny Francis-Marcella Markham-Irena Marr-Krystyna Marr-Kim Neil-Jane Pearl-Penny Pearl-Burnell Tucker-John Swindells-John Clifford",N/A,"9.2","N/A","Science Fiction-Adventure-Mystery","ch/10"
2021-00-24 22:21:29,"6.4","United States of America","A.I. Artificial Intelligence","David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","Steven Spielberg-Brian Aldiss-Ian Watson-Philip Keller","2001",2:26:52,"N/A","A highly advanced robotic boy longs to become  real  so that he can regain the love of his human mother.","Steven Spielberg","Amblin Entertainment","N/A","2001-06-29","Haley Joel Osment-Jude Law-Frances O Connor-Sam Robards-Jake Thomas-William Hurt-Robin Williams-Ben Kingsley-Meryl Streep-Chris Rock-Ken Leung-Clark Gregg-Kevin Sussman-Tom Gallop-Eugene Osment-April Grace-Matt Winston-Sabrina Grdevich-Theo Greenly-Michael Mantell-Keith Campbell-Brian Turk-Brendan Gleeson-Christopher Dye-Jack Angel-Tim Rigby-Enrico Colantoni-Adrian Grenier-Matt Malloy-Brent Sexton-Erik Bauersfeld-Michael Fishman-Diane Fletcher-Al Jourgensen-Paul Barker-Vito Carenzo-Adam Grossman-Rena Owen-Adam Alexi-Malle-Laurence Mason-Ashley Scott-Ty Coon-Duane Buford-Max Brody-Red King-Claude Gilbert-Kate Nei-Laia Salla-Jeanine Salla-Mark Allan Staubach-Miguel Pérez-Billy Scudder-Bobby Harwell-Wayne Wilderson-R. David Smith-Eliza Coleman-Jim Jansen-Tim Rhoze-Clara Bellar-Kelly McCool-Michael Shamus Wiles-Jason Sutter-Ken Palmer-Alan Scott-Lily Knight-Justina Machado-Daveigh Chase-Kathryn Morris-Hunter King-Michael Berresse-Paula Malcomson-John Prosky-Curt Youngberg-Andy Morrow-Dillon McEwin-Jeremy James Kissner",N/A,"7.5","N/A","Drama-Science Fiction-Adventure","ch/12"
2021-02-28 14:12:45,"7.9","Republic of Korea","The Admiral: Roaring Currents","12 ships against a fleet of 330.","Kim Han-min-Jeon Cheol-hong","2014",2:09:48,"N/A","The film mainly follows the famous 1597 Battle of Myeongryang during the Japanese invasion of Korea (1592-1598), where the iconic Joseon admiral Yi Sun-sin managed to destroy a total of 31 of 133 Japanese warships with only 13 ships remaining in his command. The battle, which took place in the Myeongryang Strait off the southwest coast of the Korean Peninsula, is considered one of the greatest victories of Yi.","Kim Han-min","Big Stone Pictures","Admiral: Roaring Currents","2014-07-30","Choi Min-sik-Ryu Seung-ryong-Cho Jin-woong-Jin Goo-Lee Jung-hyun-Kim Myung-gon-Kwon Yul-No Min-woo-Kim Tae-hoon-Ryohei Otani-Kim Kang-il-Park Bo-gum-Lee Hae-yeong-Jang Jun-nyeong-Mun Yeong-dong-Kim Won-hae-Choi Deok-moon-Park No-shik-Shin Yoo-ram-Kim Hyeon-tae-Kang Tae-young-Kim Gu-taek-Jo Bok-rae-Go Kyung-pyo-Lee Jae-gu-Jo Ha-seok-Lee Joo-sil-Han Yi-jin-Ju Seok-tae-Kim Min-sik-Lee Seung-joon-Lee Seung-joon",N/A,"8.6","명량","War-Action-History-Drama","Not Rated"
2021-02-28 14:15:44,"8.3","Republic of Korea","The Age of Shadows","Infiltrate and deceive","Lee Ji-min-Park Jong-dae","2016",2:21:44,"N/A","Set in the late 1920s, The Age of Shadows follows the cat-and-mouse game that unfolds between a group of resistance fighters trying to bring in explosives from Shanghai to destroy key Japanese facilities in Seoul, and Japanese agents trying to stop them.","Kim Jee-woon","Harbin","Age of Shadows","2016-09-07","Song Kang-ho-Gong Yoo-Han Ji-min-Shingo Tsurumi-Um Tae-goo-Shin Sung-rok-Lee Byung-hun-Park Hee-soon-Heo Sung-tae-Kim Dong-young-Go Joon-Seo Young-joo-Lee Hwan-Choi Yu-hwa-Han Soo-yeon-Nam Moon-chul-Jeong Do-won-Hiromitsu Takeda-Geum Sae-rok-Won Jin-a-Jeong Ha-dam-Kim Tae-joon-Lee Sol-gu-Park Ki-seon-Lee Sang-hee-Kim Tae-joon-Lee Seung-jin",N/A,"10","밀정","Action-Drama-Thriller","TV-MA"
